"ENT","CON","TOT_PER","TOT_HOM","P1_3_H1","P1_3_H2","P1_3_H3","P1_3_H4","P1_3_H5","P1_3_H6","P1_3_H7","P1_3_H8","P1_3_H9","P1_3_H10","P1_3_H11","TOT_MUJ","P1_3_M1","P1_3_M2","P1_3_M3","P1_3_M4","P1_3_M5","P1_3_M6","P1_3_M7","P1_3_M8","P1_3_M9","P1_3_M10","P1_3_M11","P1_3_M12","P1_3_M13","P2_1_1","P2_1_2","P2_1_3","P2_1_4","P2_1_5","P2_1_6","P2_2","P4_1_1","P4_1_2","P4_1_3","P4_1_4","P4_1_5","P4_1_6","P4_1_7","P4_1_8","P4_2_1","P4_2_2","P4_2_3","P4_2_4","P4_2_5","P4_2_6","P4_2_7","P4_2_8","P4_2_9","P4_2_10","P4_3_1","P4_3_2","P4_3_3","P4_3_4","P4_3_5","P4_3_6","P4_3_7","P4_3_8","P4_3_9","FACTOR"
"01","01E10715","02","01","22","","","","","","","","","","","01","55","","","","","","","","","","","","","2","1","1","1","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0",1596
"01","01E10758","04","02","40","16","","","","","","","","","","02","15","39","","","","","","","","","","","","1","2","1","2","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",1165
"01","01E10779","08","04","76","15","32","10","","","","","","","","04","09","62","42","38","","","","","","","","","","2","2","1","2","1","1","","1","2","2","2","2","1","2","2","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",799
"01","01E10790","05","03","15","62","22","","","","","","","","","02","48","22","","","","","","","","","","","","2","2","1","2","2","2","01","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",993
"01","01E10796","05","02","50","05","","","","","","","","","","03","20","52","25","","","","","","","","","","","1","1","1","1","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0",1063
"01","01E10824","04","01","53","","","","","","","","","","","03","29","51","26","","","","","","","","","","","2","1","1","2","1","1","","2","2","2","1","2","1","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0",1122
"01","01E10846","03","01","32","","","","","","","","","","","02","28","02","","","","","","","","","","","","2","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1356
"01","01E10852","03","01","58","","","","","","","","","","","02","54","21","","","","","","","","","","","","2","2","1","2","2","2","01","","","","","","","","","","","","","","","","","","","","","","","","","","","",2317
"01","01E10857","05","01","41","","","","","","","","","","","04","17","19","36","06","","","","","","","","","","2","2","2","2","1","2","01","2","2","2","2","2","1","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0",1137
"01","01E10875","05","02","04","01","","","","","","","","","","03","60","33","23","","","","","","","","","","","2","1","1","1","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0",1628
"01","01E10898","03","01","34","","","","","","","","","","","02","34","10","","","","","","","","","","","","1","2","1","1","1","1","","2","2","2","2","2","1","2","2","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0",1711
"01","01E10902","05","04","11","54","20","16","","","","","","","","01","54","","","","","","","","","","","","","2","1","2","1","1","1","","2","1","2","2","2","2","1","2","0","0","0","0","1","0","0","1","0","0","1","0","1","0","1","0","0","0","0",1063
"01","01E10903","05","02","33","10","","","","","","","","","","03","35","16","08","","","","","","","","","","","2","1","2","2","1","1","","1","2","2","2","2","1","2","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0",1342
"01","01E10921","07","03","72","08","31","","","","","","","","","04","28","20","00","52","","","","","","","","","","2","1","1","2","1","1","","2","2","2","2","2","2","2","2","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",845
"01","01E10944","08","02","28","09","","","","","","","","","","06","28","30","45","58","63","69","","","","","","","","2","1","1","1","1","1","","2","2","2","2","2","1","2","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0",747
"01","01E10984","02","01","65","","","","","","","","","","","01","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1804
"01","01E10985","06","03","03","32","42","","","","","","","","","03","60","40","08","","","","","","","","","","","1","1","1","2","1","1","","2","1","1","2","2","1","2","2","0","0","0","0","0","1","0","1","0","0","1","1","1","0","0","0","0","0","0",1585
"01","01E10991","07","03","41","07","04","","","","","","","","","04","60","27","85","06","","","","","","","","","","2","2","1","1","1","1","","2","2","2","2","2","2","2","2","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",1421
"01","01E11008","07","02","07","38","","","","","","","","","","05","07","38","16","15","12","","","","","","","","","1","2","2","2","1","2","01","2","1","2","2","2","2","2","1","1","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0",1022
"01","01E11063","04","02","35","12","","","","","","","","","","02","33","07","","","","","","","","","","","","2","2","2","2","1","1","","1","2","2","2","2","1","2","2","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",1621
"01","01E11077","09","04","00","55","24","20","","","","","","","","05","20","13","01","51","30","","","","","","","","","2","2","2","2","1","2","01","2","2","2","2","2","2","2","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0",444
"01","01E11151","04","03","10","05","35","","","","","","","","","01","26","","","","","","","","","","","","","2","2","2","1","1","2","03","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1",2077
"01","01E11182","06","03","23","17","46","","","","","","","","","03","14","24","52","","","","","","","","","","","2","2","2","2","1","2","01","1","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0",746
"01","01E11200","07","02","02","26","","","","","","","","","","05","10","20","28","30","56","","","","","","","","","2","1","1","2","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0",726
"01","01E11228","05","03","32","30","64","","","","","","","","","02","21","60","","","","","","","","","","","","1","2","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1078
"01","01E11235","07","05","11","15","45","72","06","","","","","","","02","44","72","","","","","","","","","","","","2","2","1","2","1","2","01","2","2","2","1","2","2","2","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0",940
"01","01E11260","04","02","20","46","","","","","","","","","","02","24","44","","","","","","","","","","","","2","1","1","1","1","1","","2","2","2","2","2","1","2","2","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0",1122
"01","01E11277","07","03","35","02","74","","","","","","","","","04","03","04","32","67","","","","","","","","","","2","2","1","2","1","2","01","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",1824
"01","01E11405","05","02","00","27","","","","","","","","","","03","03","06","30","","","","","","","","","","","2","2","1","1","1","1","","1","2","2","2","2","2","2","2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",1764
"01","01E11412","05","02","18","42","","","","","","","","","","03","05","14","41","","","","","","","","","","","2","1","1","2","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0",1137
"01","01E11488","03","02","69","30","","","","","","","","","","01","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1533
"01","01E11496","02","01","59","","","","","","","","","","","01","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1804
"01","01E11513","02","01","26","","","","","","","","","","","01","26","","","","","","","","","","","","","2","1","1","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1411
"01","01E11522","05","01","18","","","","","","","","","","","04","02","18","38","40","","","","","","","","","","1","1","1","2","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",1050
"01","01E11540","04","02","08","30","","","","","","","","","","02","04","25","","","","","","","","","","","","2","2","2","1","1","2","01","2","2","2","2","2","1","2","2","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",2077
"01","01E11550","07","02","36","75","","","","","","","","","","05","12","15","38","44","68","","","","","","","","","2","1","2","1","1","1","","1","1","2","2","2","1","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",843
"01","01E11592","05","04","14","77","12","16","","","","","","","","01","36","","","","","","","","","","","","","2","2","1","2","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0",1104
"01","01E11601","05","04","20","43","12","11","","","","","","","","01","36","","","","","","","","","","","","","1","1","1","1","1","1","","1","1","2","1","2","1","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1",1137
"01","01E11627","05","03","01","30","04","","","","","","","","","02","08","30","","","","","","","","","","","","2","2","1","1","1","2","01","2","2","2","2","1","2","2","2","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0",1866
"01","01E11648","03","02","25","49","","","","","","","","","","01","50","","","","","","","","","","","","","1","1","1","1","2","1","","2","2","2","2","2","1","2","2","0","0","0","1","1","1","0","1","0","0","1","1","0","0","0","0","0","0","0",1356
"01","01E11656","04","02","12","51","","","","","","","","","","02","14","52","","","","","","","","","","","","1","1","2","2","2","1","","2","2","2","2","2","1","1","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0",1165
"01","01E11660","04","03","47","22","21","","","","","","","","","01","52","","","","","","","","","","","","","1","2","1","2","1","1","","1","2","2","1","2","2","2","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0",1018
"01","01E11731","02","00","","","","","","","","","","","","02","13","56","","","","","","","","","","","","2","2","1","2","1","1","","1","2","2","2","2","2","2","2","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0",1706
