cve,descrip
"0","Ninguno"
"1","Preescolar"
"2","Primaria"
"3","Secundaria"
"4","Carrera técnica con secundaria terminada"
"5","Preparatoria o bachillerato"
"6","Carrera técnica con preparatoria terminada"
"7","Licenciatura o profesional"
"8","Maestría"
"9","Doctorado"
